stage,home_team,away_team,kickoff_at
GROUP,Mexico,South Africa,2026-06-12 00:00
GROUP,South Korea,Czechia,2026-06-12 07:00
GROUP,Canada,Bosnia & Herzegovina,2026-06-13 00:00
GROUP,USA,Paraguay,2026-06-13 06:00
GROUP,Qatar,Switzerland,2026-06-14 00:00
GROUP,Brazil,Morocco,2026-06-14 03:00
GROUP,Haiti,Scotland,2026-06-14 06:00
GROUP,Australia,Türkiye,2026-06-14 09:00
GROUP,Germany,Curaçao,2026-06-14 22:00
GROUP,Netherlands,Japan,2026-06-15 01:00
GROUP,Ivory Coast,Ecuador,2026-06-15 04:00
GROUP,Sweden,Tunisia,2026-06-15 07:00
GROUP,Spain,Cape Verde,2026-06-15 21:00
GROUP,Belgium,Egypt,2026-06-16 00:00
GROUP,Saudi Arabia,Uruguay,2026-06-16 03:00
GROUP,Iran,New Zealand,2026-06-16 06:00
GROUP,France,Senegal,2026-06-17 00:00
GROUP,Iraq,Norway,2026-06-17 03:00
GROUP,Argentina,Algeria,2026-06-17 06:00
GROUP,Austria,Jordan,2026-06-17 09:00
GROUP,Portugal,DR Congo,2026-06-17 22:00
GROUP,England,Croatia,2026-06-18 01:00
GROUP,Ghana,Panama,2026-06-18 04:00
GROUP,Uzbekistan,Colombia,2026-06-18 07:00
GROUP,Czechia,South Africa,2026-06-18 21:00
GROUP,Switzerland,Bosnia & Herzegovina,2026-06-19 00:00
GROUP,Canada,Qatar,2026-06-19 03:00
GROUP,Mexico,South Korea,2026-06-19 06:00
GROUP,USA,Australia,2026-06-20 00:00
GROUP,Scotland,Morocco,2026-06-20 03:00
GROUP,Brazil,Haiti,2026-06-20 05:30
GROUP,Türkiye,Paraguay,2026-06-20 08:00
GROUP,Netherlands,Sweden,2026-06-20 22:00
GROUP,Germany,Ivory Coast,2026-06-21 01:00
GROUP,Ecuador,Curaçao,2026-06-21 05:00
GROUP,Tunisia,Japan,2026-06-21 09:00
GROUP,Spain,Saudi Arabia,2026-06-21 21:00
GROUP,Belgium,Iran,2026-06-22 00:00
GROUP,Uruguay,Cape Verde,2026-06-22 03:00
GROUP,New Zealand,Egypt,2026-06-22 06:00
GROUP,Argentina,Austria,2026-06-22 22:00
GROUP,France,Iraq,2026-06-23 02:00
GROUP,Norway,Senegal,2026-06-23 05:00
GROUP,Jordan,Algeria,2026-06-23 08:00
GROUP,Portugal,Uzbekistan,2026-06-23 22:00
GROUP,England,Ghana,2026-06-24 01:00
GROUP,Panama,Croatia,2026-06-24 04:00
GROUP,Colombia,DR Congo,2026-06-24 07:00
GROUP,Switzerland,Canada,2026-06-25 00:00
GROUP,Bosnia & Herzegovina,Qatar,2026-06-25 00:00
GROUP,Scotland,Brazil,2026-06-25 03:00
GROUP,Morocco,Haiti,2026-06-25 03:00
GROUP,Czechia,Mexico,2026-06-25 06:00
GROUP,South Africa,South Korea,2026-06-25 06:00
GROUP,Curaçao,Ivory Coast,2026-06-26 01:00
GROUP,Ecuador,Germany,2026-06-26 01:00
GROUP,Japan,Sweden,2026-06-26 04:00
GROUP,Tunisia,Netherlands,2026-06-26 04:00
GROUP,Türkiye,USA,2026-06-26 07:00
GROUP,Paraguay,Australia,2026-06-26 07:00
GROUP,Norway,France,2026-06-27 00:00
GROUP,Senegal,Iraq,2026-06-27 00:00
GROUP,Cape Verde,Saudi Arabia,2026-06-27 05:00
GROUP,Uruguay,Spain,2026-06-27 05:00
GROUP,Egypt,Iran,2026-06-27 08:00
GROUP,New Zealand,Belgium,2026-06-27 08:00
GROUP,Panama,England,2026-06-28 02:00
GROUP,Croatia,Ghana,2026-06-28 02:00
GROUP,Colombia,Portugal,2026-06-28 04:30
GROUP,DR Congo,Uzbekistan,2026-06-28 04:30
GROUP,Algeria,Austria,2026-06-28 07:00
GROUP,Jordan,Argentina,2026-06-28 07:00
